"NmBarang","Tahun","Bulan","Periode","TotalPenjualan","PenjualanBulanSebelumnya"
GERY SALUT MALKIS COCONUT,2024,6,Tengah Bulan,36000.0,187500.0
GERY SALUT MALKIST ABON,2023,12,Akhir Bulan,282000.0,
GERY SALUT MALKIST ABON,2023,12,Awal Bulan,33500.0,282000.0
GERY SALUT MALKIST ABON,2024,1,Akhir Bulan,113000.0,
GERY SALUT MALKIST ABON,2024,2,Akhir Bulan,166500.0,113000.0
GERY SALUT MALKIST ABON,2024,2,Awal Bulan,65000.0,166500.0
GERY SALUT MALKIST ABON,2024,2,Tengah Bulan,27500.0,65000.0
GERY SALUT MALKIST ABON,2024,3,Awal Bulan,20000.0,27500.0
GERY SALUT MALKIST ABON,2024,4,Akhir Bulan,161000.0,20000.0
GERY SALUT MALKIST ABON,2024,5,Akhir Bulan,21000.0,161000.0
GERY SALUT MALKIST ABON,2024,5,Awal Bulan,104500.0,21000.0
GERY SALUT MALKIST ABON,2024,5,Tengah Bulan,331000.0,104500.0
GERY SALUT MALKIST ABON,2024,6,Awal Bulan,40000.0,331000.0
GERY SALUT MARIE SUSU,2024,4,Akhir Bulan,42000.0,
GERY SALUUT,2023,12,Akhir Bulan,1172500.0,
GERY SALUUT,2023,12,Awal Bulan,123500.0,1172500.0
GERY SALUUT,2023,12,Tengah Bulan,218000.0,123500.0
GERY SALUUT,2024,1,Akhir Bulan,793500.0,
GERY SALUUT,2024,1,Tengah Bulan,1007500.0,793500.0
GERY SALUUT,2024,2,Awal Bulan,157500.0,1007500.0
GERY SALUUT,2024,2,Tengah Bulan,1548000.0,157500.0
GERY SALUUT CHO COCONUT,2023,12,Akhir Bulan,119500.0,
GERY SALUUT CHO COCONUT,2023,12,Awal Bulan,94000.0,119500.0
GERY SALUUT CHO COCONUT,2023,12,Tengah Bulan,67500.0,94000.0
GERY SALUUT CHO COCONUT,2024,1,Awal Bulan,135000.0,
GERY SALUUT CHO COCONUT,2024,1,Tengah Bulan,10500.0,135000.0
GERY SALUUT CHO COCONUT,2024,2,Akhir Bulan,24500.0,10500.0
GERY SALUUT CHO COCONUT,2024,2,Awal Bulan,48000.0,24500.0
GERY SALUUT CHO COCONUT,2024,2,Tengah Bulan,270500.0,48000.0
GERY SALUUT CHO COCONUT,2024,3,Awal Bulan,40000.0,270500.0
GERY SALUUT CHO COCONUT,2024,4,Akhir Bulan,170000.0,40000.0
GERY SALUUT CHO COCONUT,2024,5,Akhir Bulan,66000.0,170000.0
GERY SALUUT CHO COCONUT,2024,5,Awal Bulan,17500.0,66000.0
GERY SALUUT CHO COCONUT,2024,5,Tengah Bulan,88000.0,17500.0
GERY SALUUT CHO COCONUT,2024,6,Awal Bulan,240500.0,88000.0
GERY SALUUT MALKIS KEJU 110G,2023,12,Akhir Bulan,91000.0,
GERY SALUUT MALKIS KEJU 110G,2023,12,Awal Bulan,26500.0,91000.0
GERY SALUUT MALKIS KEJU 110G,2023,12,Tengah Bulan,76000.0,26500.0
GERY SALUUT MALKIS KEJU 110G,2024,1,Akhir Bulan,16000.0,
GERY SALUUT MALKIS KEJU 110G,2024,1,Tengah Bulan,29000.0,16000.0
GERY SALUUT MALKIS KEJU 110G,2024,2,Akhir Bulan,173000.0,29000.0
GERY SALUUT MALKIS KEJU 110G,2024,2,Awal Bulan,184500.0,173000.0
GERY SALUUT MALKIS KEJU 110G,2024,2,Tengah Bulan,333000.0,184500.0
GERY SALUUT MALKIS KEJU 110G,2024,3,Awal Bulan,45000.0,333000.0
GERY SALUUT MALKIS KEJU 110G,2024,4,Akhir Bulan,404000.0,45000.0
GERY SALUUT MALKIS KEJU 110G,2024,5,Awal Bulan,63500.0,404000.0
GERY SALUUT MALKIS KEJU 110G,2024,5,Tengah Bulan,249500.0,63500.0
GERY SALUUT MALKIS KEJU 110G,2024,6,Awal Bulan,185000.0,249500.0
GERY SALUUT MALKIST CHO 140,2023,12,Akhir Bulan,79000.0,
GERY SALUUT MALKIST CHO 140,2023,12,Awal Bulan,176000.0,79000.0
GERY SALUUT MALKIST CHO 140,2023,12,Tengah Bulan,5500.0,176000.0
GERY SALUUT MALKIST CHO 140,2024,1,Awal Bulan,89500.0,
GERY SALUUT MALKIST CHO 140,2024,1,Tengah Bulan,13500.0,89500.0
GERY SALUUT MALKIST CHO 140,2024,2,Akhir Bulan,40000.0,13500.0
GERY SALUUT MALKIST CHO 140,2024,2,Awal Bulan,42000.0,40000.0
GERY SALUUT MALKIST CHO 140,2024,2,Tengah Bulan,295500.0,42000.0
GERY SALUUT MALKIST CHO 140,2024,3,Awal Bulan,116000.0,295500.0
GERY SALUUT MALKIST CHO 140,2024,4,Akhir Bulan,240500.0,116000.0
GERY SALUUT MALKIST CHO 140,2024,5,Akhir Bulan,94500.0,240500.0
GERY SALUUT MALKIST CHO 140,2024,5,Tengah Bulan,109500.0,94500.0
GERY SALUUT MALKIST CHO 140,2024,6,Awal Bulan,228500.0,109500.0
GERY SALUUT MALKIST CHO 140,2024,6,Tengah Bulan,14000.0,228500.0
GERY SANCK KEJU,2024,1,Akhir Bulan,15000.0,
GERY SANCK KEJU,2024,2,Akhir Bulan,2000.0,15000.0
GERY SANCK KEJU,2024,2,Awal Bulan,29500.0,2000.0
GERY SANCK KEJU,2024,2,Tengah Bulan,24000.0,29500.0
GERY SANCK KEJU,2024,3,Akhir Bulan,23500.0,24000.0
GERY SANCK KEJU,2024,3,Awal Bulan,131500.0,23500.0
GERY SANCK KEJU,2024,3,Tengah Bulan,111000.0,131500.0
GERY SDALUT MARIE SUSU 84GRAM,2024,3,Akhir Bulan,10000.0,
GERY SDALUT MARIE SUSU 84GRAM,2024,3,Awal Bulan,143500.0,10000.0
GERY SDALUT MARIE SUSU 84GRAM,2024,4,Akhir Bulan,47000.0,143500.0
GERY SDALUT MARIE SUSU 84GRAM,2024,6,Awal Bulan,41000.0,47000.0
GERY SNACK COKLAT,2023,12,Awal Bulan,10000.0,
GERY SNACK COKLAT,2023,12,Tengah Bulan,276500.0,10000.0
GERY SNACK COKLAT,2024,1,Akhir Bulan,377500.0,
GERY SNACK COKLAT,2024,2,Akhir Bulan,273500.0,377500.0
GERY SNACK COKLAT,2024,2,Awal Bulan,200000.0,273500.0
GERY SNACK COKLAT,2024,2,Tengah Bulan,147900.0,200000.0
GERY SNACK COKLAT,2024,3,Akhir Bulan,86000.0,147900.0
GERY SNACK COKLAT,2024,3,Awal Bulan,97500.0,86000.0
GERY SNACK COKLAT,2024,3,Tengah Bulan,37000.0,97500.0
GERY SNACK COKLAT,2024,6,Awal Bulan,264500.0,37000.0
GERY SNACK COKLAT,2024,6,Tengah Bulan,104500.0,264500.0
GILLETE BLUE 2 UG 2S,2024,4,Akhir Bulan,198000.0,
GILLETE BLUE 2 UG 2S,2024,5,Awal Bulan,369000.0,198000.0
GILLETE GOAL II,2023,12,Akhir Bulan,80000.0,
GILLETE GOAL II,2023,12,Awal Bulan,53000.0,80000.0
GILLETE GOAL II,2024,1,Akhir Bulan,63000.0,
GILLETE GOAL II,2024,1,Awal Bulan,253500.0,63000.0
GILLETE GOAL II,2024,1,Tengah Bulan,301000.0,253500.0
GILLETE GOAL II,2024,2,Akhir Bulan,83500.0,301000.0
GILLETE GOAL II,2024,2,Awal Bulan,59500.0,83500.0
GILLETE GOAL II,2024,2,Tengah Bulan,212000.0,59500.0
GILLETE GOAL II,2024,3,Awal Bulan,67000.0,212000.0
GILLETE GOAL II,2024,3,Tengah Bulan,12000.0,67000.0
GILLETE GOAL II,2024,5,Akhir Bulan,455500.0,12000.0
GILLETE GOAL II,2024,5,Awal Bulan,227000.0,455500.0
GILLETE GOAL II,2024,5,Tengah Bulan,581000.0,227000.0
GILLETE GOAL II,2024,6,Awal Bulan,127000.0,581000.0
GILLETE GOAL II,2024,6,Tengah Bulan,164500.0,127000.0
GILLETE GOAL KLIK,2023,12,Akhir Bulan,67000.0,
GILLETE GOAL KLIK,2023,12,Awal Bulan,301500.0,67000.0
GILLETE GOAL KLIK,2023,12,Tengah Bulan,374000.0,301500.0
GILLETE GOAL KLIK,2024,1,Akhir Bulan,61500.0,
GILLETE GOAL KLIK,2024,2,Akhir Bulan,47500.0,61500.0
GILLETE GOAL KLIK,2024,2,Awal Bulan,280000.0,47500.0
GILLETE GOAL KLIK,2024,2,Tengah Bulan,43500.0,280000.0
GILLETE GOAL KLIK,2024,4,Akhir Bulan,67000.0,43500.0
GILLETE GOAL KLIK,2024,5,Akhir Bulan,237000.0,67000.0
GILLETE GOAL KLIK,2024,5,Tengah Bulan,82500.0,237000.0
GILLETE GOAL KLIK,2024,6,Awal Bulan,20000.0,82500.0
GILLETT BLUE,2024,1,Akhir Bulan,670000.0,
GILLETT BLUE,2024,1,Tengah Bulan,46000.0,670000.0
GILLETT BLUE,2024,2,Akhir Bulan,155000.0,46000.0
GILLETT BLUE,2024,2,Awal Bulan,34000.0,155000.0
GILLETT BLUE,2024,2,Tengah Bulan,65500.0,34000.0
GILLETT BLUE,2024,3,Awal Bulan,92500.0,65500.0
GILLETT BLUE,2024,3,Tengah Bulan,57000.0,92500.0
GILLETT BLUE,2024,4,Akhir Bulan,58000.0,57000.0
GILLETT BLUE,2024,4,Tengah Bulan,91500.0,58000.0
GILLETTE BLU 2 FLEXI,2024,5,Tengah Bulan,20000.0,
GILLETTE BLU 2 FLEXI,2024,6,Tengah Bulan,56000.0,20000.0
GILLETTE GOAL PAC,2023,12,Akhir Bulan,65000.0,
GILLETTE GOAL PAC,2023,12,Awal Bulan,59000.0,65000.0
GILLETTE GOAL PAC,2023,12,Tengah Bulan,251500.0,59000.0
GILLETTE GOAL PAC,2024,1,Awal Bulan,36000.0,
GILLETTE GOAL PAC,2024,1,Tengah Bulan,43000.0,36000.0
GILLETTE GOAL PAC,2024,2,Awal Bulan,88000.0,43000.0
GILLETTE GOAL PAC,2024,2,Tengah Bulan,75000.0,88000.0
GILLETTE GOAL PAC,2024,3,Awal Bulan,44000.0,75000.0
GILLETTE GOAL PAC,2024,4,Akhir Bulan,41000.0,44000.0
GILLETTE GOAL PAC,2024,5,Akhir Bulan,181000.0,41000.0
GILLETTE GOAL PAC,2024,5,Awal Bulan,81500.0,181000.0
GILLETTE GOAL PAC,2024,5,Tengah Bulan,34000.0,81500.0
GILLETTE GOAL PAC,2024,6,Awal Bulan,236500.0,34000.0
GIV 250 HIJAB ROSE & ARGAN,2024,1,Awal Bulan,146000.0,
GIV 250 HIJAB ROSE & ARGAN,2024,2,Awal Bulan,150000.0,146000.0
GIV 250 HIJAB ROSE & ARGAN,2024,4,Akhir Bulan,152000.0,150000.0
GIV 250 HIJAB ROSE & ARGAN,2024,5,Awal Bulan,47000.0,152000.0
GIV 400 PUTIH,2023,12,Akhir Bulan,215500.0,
GIV 400 PUTIH,2023,12,Awal Bulan,23000.0,215500.0
GIV 400 PUTIH,2023,12,Tengah Bulan,74000.0,23000.0
GIV 400 PUTIH,2024,1,Tengah Bulan,71000.0,
GIV 400 PUTIH,2024,2,Awal Bulan,44000.0,71000.0
GIV 400 PUTIH,2024,2,Tengah Bulan,75000.0,44000.0
GIV 400 PUTIH,2024,4,Akhir Bulan,488000.0,75000.0
GIV 400 PUTIH,2024,5,Awal Bulan,42000.0,488000.0
GIV 400 PUTIH,2024,5,Tengah Bulan,109000.0,42000.0
GIV 400ML TIN&ZAITUN,2024,1,Akhir Bulan,41500.0,
GIV 400ML TIN&ZAITUN,2024,2,Akhir Bulan,31500.0,41500.0
GIV 400ML TIN&ZAITUN,2024,2,Awal Bulan,82000.0,31500.0
GIV 400ML TIN&ZAITUN,2024,4,Akhir Bulan,319500.0,82000.0
GIV 400ML TIN&ZAITUN,2024,4,Tengah Bulan,107000.0,319500.0
GIV 450 PINK,2023,12,Akhir Bulan,120000.0,
GIV 450 PINK,2024,1,Awal Bulan,117500.0,
GIV 450 PINK,2024,3,Awal Bulan,50000.0,117500.0
GIV 450 PINK,2024,4,Akhir Bulan,39000.0,50000.0
GIV 450 PINK,2024,4,Tengah Bulan,94500.0,39000.0
GIV 450 PINK,2024,5,Awal Bulan,132500.0,94500.0
GIV 450 PINK,2024,5,Tengah Bulan,326000.0,132500.0
GIV 450 SWEET BERRY,2023,12,Akhir Bulan,36000.0,
GIV 450 SWEET BERRY,2023,12,Tengah Bulan,59000.0,36000.0
GIV 450 SWEET BERRY,2024,1,Akhir Bulan,143000.0,
GIV 450 SWEET BERRY,2024,2,Akhir Bulan,52000.0,143000.0
GIV 450 SWEET BERRY,2024,2,Tengah Bulan,159500.0,52000.0
GIV 450 SWEET BERRY,2024,3,Awal Bulan,24000.0,159500.0
GIV 450 SWEET BERRY,2024,4,Akhir Bulan,275500.0,24000.0
GIV 450 SWEET BERRY,2024,4,Tengah Bulan,43000.0,275500.0
GIV 450 SWEET BERRY,2024,5,Awal Bulan,63000.0,43000.0
GIV 76G WHITE HIJAB,2024,2,Akhir Bulan,83500.0,
GIV 76G WHITE HIJAB,2024,2,Awal Bulan,13000.0,83500.0
GIV 76G WHITE HIJAB,2024,2,Tengah Bulan,133000.0,13000.0
GIV BE R 450 ML BENGKOANG,2023,12,Awal Bulan,119000.0,
GIV BE R 450 ML BENGKOANG,2024,1,Akhir Bulan,42000.0,
GIV BE R 450 ML BENGKOANG,2024,1,Tengah Bulan,83000.0,42000.0
GIV BE R 450 ML BENGKOANG,2024,4,Akhir Bulan,167500.0,83000.0
GIV BE R 450 ML BENGKOANG,2024,5,Awal Bulan,99000.0,167500.0
GIV BE R 450 ML BENGKOANG,2024,5,Tengah Bulan,122000.0,99000.0
GIV BODY WASH PAPAYA 250 ML,2024,5,Tengah Bulan,25000.0,
GIV BW R 450 ML LEMON,2023,12,Awal Bulan,86000.0,
GIV BW R 450 ML LEMON,2024,1,Akhir Bulan,60000.0,
GIV BW R 450 ML LEMON,2024,1,Awal Bulan,45000.0,60000.0
GIV BW R 450 ML LEMON,2024,1,Tengah Bulan,127000.0,45000.0
GIV BW R 450 ML LEMON,2024,4,Akhir Bulan,24000.0,127000.0
GIV BW R 450 ML LEMON,2024,5,Awal Bulan,92000.0,24000.0
GIV BW R 450 ML SAKURA,2024,1,Akhir Bulan,135000.0,
GIV BW R 450 ML SAKURA,2024,1,Awal Bulan,85000.0,135000.0
GIV BW R 450 ML SAKURA,2024,2,Akhir Bulan,39000.0,85000.0
GIV BW R 450 ML SAKURA,2024,4,Tengah Bulan,204500.0,39000.0
GIV BW R 450 ML SAKURA,2024,5,Awal Bulan,18000.0,204500.0
GIV BW R 450 ML SAKURA,2024,5,Tengah Bulan,181000.0,18000.0
GIV BW R250 ML PINK,2023,12,Akhir Bulan,172500.0,
GIV BW R250 ML PINK,2023,12,Tengah Bulan,72000.0,172500.0
GIV BW R250 ML PINK,2024,2,Akhir Bulan,49000.0,
GIV BW R250 ML PINK,2024,3,Akhir Bulan,35000.0,49000.0
GIV BW R250 ML PINK,2024,3,Awal Bulan,36500.0,35000.0
GIV BW R250 ML PINK,2024,3,Tengah Bulan,25000.0,36500.0
GIV BW R250 ML PINK,2024,4,Akhir Bulan,68000.0,25000.0
GIV BW R250 ML PINK,2024,4,Tengah Bulan,75500.0,68000.0
GIV BW R250 ML PINK,2024,5,Akhir Bulan,151300.0,75500.0
GIV BW R250 ML PINK,2024,5,Awal Bulan,99500.0,151300.0
GIV BW R250 ML PINK,2024,6,Awal Bulan,137000.0,99500.0
GIV BW R250 ML TIN ZAITUN,2024,1,Akhir Bulan,116500.0,
GIV BW R250 ML TIN ZAITUN,2024,2,Tengah Bulan,115000.0,116500.0
GIV BW R250 ML TIN ZAITUN,2024,3,Awal Bulan,20500.0,115000.0
GIV BW R250 ML TIN ZAITUN,2024,4,Akhir Bulan,41000.0,20500.0
GIV BW R250ML LEMON,2023,12,Awal Bulan,24500.0,
GIV BW R250ML LEMON,2024,1,Awal Bulan,77000.0,
GIV BW R250ML LEMON,2024,1,Tengah Bulan,276000.0,77000.0
GIV BW R250ML LEMON,2024,2,Tengah Bulan,88500.0,276000.0
GIV BW SAFRON&NIACINAMDE 250ML,2023,12,Akhir Bulan,136000.0,
GIV BW SAFRON&NIACINAMDE 250ML,2023,12,Tengah Bulan,28000.0,136000.0
GIV BW SAFRON&NIACINAMDE 250ML,2024,1,Akhir Bulan,52500.0,
GIV BW SAFRON&NIACINAMDE 250ML,2024,1,Awal Bulan,38000.0,52500.0
GIV BW SAFRON&NIACINAMDE 250ML,2024,1,Tengah Bulan,46500.0,38000.0
GIV BW SAFRON&NIACINAMDE 250ML,2024,2,Akhir Bulan,20500.0,46500.0
GIV BW SAFRON&NIACINAMDE 250ML,2024,3,Akhir Bulan,94450.0,20500.0
GIV BW SAFRON&NIACINAMDE 250ML,2024,3,Tengah Bulan,42000.0,94450.0
GIV BW SAFRON&NIACINAMDE 250ML,2024,4,Tengah Bulan,100500.0,42000.0
GIV DAMASK ROSE 76 GR,2024,2,Akhir Bulan,94000.0,
GIV DAMASK ROSE 76 GR,2024,2,Awal Bulan,10000.0,94000.0
GIV DAMASK ROSE 76 GR,2024,2,Tengah Bulan,59000.0,10000.0
GIV DAMASK ROSE 76 GR,2024,3,Awal Bulan,5500.0,59000.0
GIV DAMASK ROSE 76 GR,2024,6,Awal Bulan,107000.0,5500.0
GIV DAMASK ROSE 76 GR,2024,6,Tengah Bulan,77000.0,107000.0
GIV HIJAB BODY WASH 400ML SAFRON,2024,5,Awal Bulan,85500.0,
GIV HIJAB ROSE WATER&ARGON OIL 60ML,2024,5,Akhir Bulan,66500.0,
GIV MULBERRY 400ML,2023,12,Tengah Bulan,256500.0,
GIV MULBERRY 400ML,2024,1,Akhir Bulan,150000.0,
GIV MULBERRY 400ML,2024,5,Tengah Bulan,393500.0,150000.0
GIV MULBERRY REFILL 250ML,2023,12,Akhir Bulan,21500.0,
GIV MULBERRY REFILL 250ML,2023,12,Awal Bulan,116000.0,21500.0
GIV MULBERRY REFILL 250ML,2023,12,Tengah Bulan,168500.0,116000.0
GIV MULBERRY REFILL 250ML,2024,1,Akhir Bulan,182500.0,
GIV MULBERRY REFILL 250ML,2024,1,Tengah Bulan,81500.0,182500.0
GIV MULBERRY REFILL 250ML,2024,2,Awal Bulan,54000.0,81500.0
GIV MULBERRY REFILL 250ML,2024,2,Tengah Bulan,55000.0,54000.0
GIV MULBERRY REFILL 250ML,2024,6,Awal Bulan,320000.0,55000.0
GIV MULBERRY REFILL 250ML,2024,6,Tengah Bulan,56000.0,320000.0
GIV PASSION FLOWER 76 GR,2023,12,Awal Bulan,238500.0,
GIV PASSION FLOWER 76 GR,2024,1,Awal Bulan,99000.0,
GIV PASSION FLOWER 76 GR,2024,1,Tengah Bulan,42500.0,99000.0
GIV PASSION FLOWER 76 GR,2024,4,Akhir Bulan,74500.0,42500.0
GIV PASSION FLOWER 76 GR,2024,5,Awal Bulan,362500.0,74500.0
GIV PASSION FLOWER 76 GR,2024,6,Awal Bulan,220500.0,362500.0
GIV PASSION FLOWERS REFILL 250ML,2024,1,Akhir Bulan,74000.0,
GIV PASSION FLOWERS REFILL 250ML,2024,1,Awal Bulan,141000.0,74000.0
GIV PASSION FLOWERS REFILL 250ML,2024,1,Tengah Bulan,101000.0,141000.0
GIV PASSION FLOWERS REFILL 250ML,2024,2,Akhir Bulan,18000.0,101000.0
GIV PASSION FLOWERS REFILL 250ML,2024,2,Awal Bulan,94000.0,18000.0
GIV PASSION FLOWERS REFILL 250ML,2024,2,Tengah Bulan,187000.0,94000.0
GIV PASSION FLOWERS REFILL 250ML,2024,4,Akhir Bulan,47000.0,187000.0
GIV PASSION FLOWERS REFILL 250ML,2024,5,Awal Bulan,77000.0,47000.0
GIV PASSION FLOWERS REFILL 250ML,2024,6,Awal Bulan,290000.0,77000.0
GIV ROSE ARGON 400ML,2024,2,Akhir Bulan,26000.0,
GIV ROSE ARGON 400ML,2024,2,Awal Bulan,160000.0,26000.0
GIV ROSE ARGON 400ML,2024,3,Tengah Bulan,42000.0,160000.0
GIV ROSE ARGON 400ML,2024,4,Akhir Bulan,288500.0,42000.0
GIV ROSE ARGON 400ML,2024,4,Tengah Bulan,127000.0,288500.0
GIV ROSE ARGON 400ML,2024,5,Awal Bulan,45500.0,127000.0
GIV SAKURA REFILL 250ML,2023,12,Akhir Bulan,95000.0,
GIV SAKURA REFILL 250ML,2023,12,Awal Bulan,151000.0,95000.0
GIV SAKURA REFILL 250ML,2023,12,Tengah Bulan,227000.0,151000.0
GIV SAKURA REFILL 250ML,2024,1,Akhir Bulan,181500.0,
GIV SAKURA REFILL 250ML,2024,1,Tengah Bulan,92000.0,181500.0
GIV SAKURA REFILL 250ML,2024,2,Akhir Bulan,121000.0,92000.0
GIV SAKURA REFILL 250ML,2024,3,Awal Bulan,23500.0,121000.0
GIV SAKURA REFILL 250ML,2024,6,Tengah Bulan,72500.0,23500.0
GIV SOAP HIJAB ROSE,2024,4,Akhir Bulan,69000.0,
GIV SOAP HIJAB ROSE,2024,4,Tengah Bulan,187500.0,69000.0
GIV SOAP HIJAB ROSE,2024,5,Akhir Bulan,52000.0,187500.0
GIV SOAP HIJAB ROSE,2024,5,Awal Bulan,97000.0,52000.0
GIV SOAP HIJAB ROSE,2024,5,Tengah Bulan,94000.0,97000.0
GIV WATER LILY 76 GR,2023,12,Awal Bulan,117500.0,
GIV WATER LILY 76 GR,2023,12,Tengah Bulan,3500.0,117500.0
GIV WATER LILY 76 GR,2024,1,Akhir Bulan,195500.0,
GIV WATER LILY 76 GR,2024,1,Awal Bulan,42000.0,195500.0
GIV WATER LILY 76 GR,2024,1,Tengah Bulan,220500.0,42000.0
GIV WATER LILY 76 GR,2024,4,Akhir Bulan,180500.0,220500.0
GIV WATER LILY 76 GR,2024,4,Tengah Bulan,28500.0,180500.0
GIV WATER LILY 76 GR,2024,5,Akhir Bulan,500000.0,28500.0
GIV WATER LILY 76 GR,2024,5,Awal Bulan,24500.0,500000.0
GIV WATER LILY 76 GR,2024,5,Tengah Bulan,114000.0,24500.0
GIV WATER LILY 76 GR,2024,6,Awal Bulan,276000.0,114000.0
GIV WHITE 76 GR,2023,12,Akhir Bulan,11500.0,
GIV WHITE 76 GR,2023,12,Awal Bulan,127000.0,11500.0
GIV WHITE 76 GR,2024,1,Akhir Bulan,170000.0,
GIV WHITE 76 GR,2024,1,Awal Bulan,211000.0,170000.0
GIV WHITE 76 GR,2024,2,Awal Bulan,191500.0,211000.0
GIV WHITE 76 GR,2024,4,Akhir Bulan,129500.0,191500.0
GIV WHITE 76 GR,2024,5,Akhir Bulan,75500.0,129500.0
GIV WHITE 76 GR,2024,5,Awal Bulan,276500.0,75500.0
GIV WHITE 76 GR,2024,5,Tengah Bulan,107500.0,276500.0
GIV WHITE 76 GR,2024,6,Awal Bulan,56000.0,107500.0
GIV WHITE 76 GR,2024,6,Tengah Bulan,12500.0,56000.0
GIV WHITE BENGKOANG 76 GR,2023,12,Akhir Bulan,193000.0,
GIV WHITE BENGKOANG 76 GR,2023,12,Tengah Bulan,32000.0,193000.0
GIV WHITE BENGKOANG 76 GR,2024,1,Akhir Bulan,75000.0,
GIV WHITE BENGKOANG 76 GR,2024,1,Tengah Bulan,139000.0,75000.0
GIV WHITE BENGKOANG 76 GR,2024,2,Akhir Bulan,22000.0,139000.0
GIV WHITE BENGKOANG 76 GR,2024,2,Awal Bulan,251000.0,22000.0
GIV WHITE BENGKOANG 76 GR,2024,2,Tengah Bulan,188000.0,251000.0
GIV WHITE BENGKOANG 76 GR,2024,6,Awal Bulan,199000.0,188000.0
GIV WHITE BENGKOANG REFILL250ML,2023,12,Awal Bulan,99500.0,
GIV WHITE BENGKOANG REFILL250ML,2024,2,Akhir Bulan,107000.0,
GIV WHITE BENGKOANG REFILL250ML,2024,3,Awal Bulan,63000.0,107000.0
GIV WHITE BENGKOANG REFILL250ML,2024,4,Akhir Bulan,163000.0,63000.0
GIV WHITE BENGKOANG REFILL250ML,2024,5,Awal Bulan,125500.0,163000.0
GIV WHITE BENGKOANG REFILL250ML,2024,6,Awal Bulan,243500.0,125500.0
GIV WHITE BENGKOANG REFILL250ML,2024,6,Tengah Bulan,110500.0,243500.0
GIV WHITE HIJAB SAFFRON NIACINAMIDE,2024,5,Akhir Bulan,136500.0,
GIV WHITE MULBERRY,2023,12,Akhir Bulan,4000.0,
GIV WHITE MULBERRY,2023,12,Awal Bulan,62500.0,4000.0
GIV WHITE MULBERRY,2024,1,Akhir Bulan,189000.0,
GIV WHITE MULBERRY,2024,1,Awal Bulan,167000.0,189000.0
GIV WHITE MULBERRY,2024,4,Akhir Bulan,71000.0,167000.0
GIV WHITE MULBERRY,2024,4,Tengah Bulan,276000.0,71000.0
GIV WHITE MULBERRY,2024,5,Awal Bulan,52000.0,276000.0
GIV WHITE MULBERRY,2024,5,Tengah Bulan,31500.0,52000.0
GIV WHITE MULBERRY,2024,6,Awal Bulan,261500.0,31500.0
GIV WHITE MULBERRY,2024,6,Tengah Bulan,20500.0,261500.0
GIV WHITE PEPAYA 76 GR,2023,12,Akhir Bulan,122000.0,
GIV WHITE PEPAYA 76 GR,2023,12,Awal Bulan,50500.0,122000.0
GIV WHITE PEPAYA 76 GR,2023,12,Tengah Bulan,95100.0,50500.0
GIV WHITE PEPAYA 76 GR,2024,1,Akhir Bulan,208500.0,
GIV WHITE PEPAYA 76 GR,2024,1,Awal Bulan,72000.0,208500.0
GIV WHITE PEPAYA 76 GR,2024,1,Tengah Bulan,300500.0,72000.0
GIV WHITE PEPAYA 76 GR,2024,2,Akhir Bulan,68000.0,300500.0
GIV WHITE PEPAYA 76 GR,2024,2,Awal Bulan,188500.0,68000.0
GIV WHITE PEPAYA 76 GR,2024,2,Tengah Bulan,84500.0,188500.0
GIV WHITE PEPAYA 76 GR,2024,6,Awal Bulan,188500.0,84500.0
GIV WHITE PEPAYA 76 GR,2024,6,Tengah Bulan,62000.0,188500.0
GIVE LEMON 76G,2023,12,Akhir Bulan,151000.0,
GIVE LEMON 76G,2023,12,Awal Bulan,100000.0,151000.0
GIVE LEMON 76G,2023,12,Tengah Bulan,101000.0,100000.0
GIVE LEMON 76G,2024,1,Akhir Bulan,35000.0,
GIVE LEMON 76G,2024,1,Awal Bulan,143000.0,35000.0
GIVE LEMON 76G,2024,1,Tengah Bulan,79500.0,143000.0
GIVE LEMON 76G,2024,2,Awal Bulan,137000.0,79500.0
GIVE LEMON 76G,2024,4,Akhir Bulan,204500.0,137000.0
GIVE LEMON 76G,2024,5,Akhir Bulan,54000.0,204500.0
GIVE LEMON 76G,2024,5,Awal Bulan,96500.0,54000.0
GIVE LEMON 76G,2024,5,Tengah Bulan,111500.0,96500.0
GIVE LEMON 76G,2024,6,Awal Bulan,50000.0,111500.0
GIVE LEMON 76G,2024,6,Tengah Bulan,12500.0,50000.0
GIVE PUTIG 76G,2023,12,Akhir Bulan,90000.0,
GIVE PUTIG 76G,2023,12,Tengah Bulan,98500.0,90000.0
GIVE PUTIG 76G,2024,6,Awal Bulan,171500.0,
GIVE PUTIG 76G,2024,6,Tengah Bulan,123000.0,171500.0
GIVE SOAP TIN DAN ZAITUN,2024,1,Akhir Bulan,103500.0,
GIVE SOAP TIN DAN ZAITUN,2024,2,Awal Bulan,85000.0,103500.0
GIVE SOAP TIN DAN ZAITUN,2024,3,Akhir Bulan,13000.0,85000.0
GIVE SOAP TIN DAN ZAITUN,2024,4,Akhir Bulan,92500.0,13000.0
GIVE SOAP TIN DAN ZAITUN,2024,4,Tengah Bulan,216500.0,92500.0
GIVE SOAP TIN DAN ZAITUN,2024,5,Awal Bulan,397000.0,216500.0
GIVE SOAP TIN DAN ZAITUN,2024,5,Tengah Bulan,30000.0,397000.0
GIVE WHITE FLOWERS 250ML,2023,12,Awal Bulan,40500.0,
