"KdBarang","NmBarang","Bulan","Tahun","TotalTerjual"
"100826",JAHIS BUAH POTONG,6,2024,12
"100827",JAHIS PUDING,4,2024,27
"100827",JAHIS PUDING,5,2024,10
"101",ROTI LA-TANSA SOSIS,12,2023,194
"101",ROTI LA-TANSA SOSIS,1,2024,402
"101",ROTI LA-TANSA SOSIS,4,2024,186
"101",ROTI LA-TANSA SOSIS,5,2024,235
"101",ROTI LA-TANSA SOSIS,6,2024,207
"101002",KAOS JERSEY MU HOME,5,2024,1
"10125",SARUNG BANTAL/GULING.,12,2023,15
"10125",SARUNG BANTAL/GULING.,1,2024,7
"10125",SARUNG BANTAL/GULING.,2,2024,2
"10125",SARUNG BANTAL/GULING.,4,2024,10
"10125",SARUNG BANTAL/GULING.,5,2024,14
"10125",SARUNG BANTAL/GULING.,6,2024,5
"10193",KAOS JERSEY REAL MADRID 3RD,5,2024,1
"102",CD KASOGI BOXER,12,2023,2
"102",ROTI LA-TANSA KEJU,12,2023,8
"102",ROTI LA-TANSA KEJU,1,2024,59
"102",ROTI LA-TANSA KEJU,2,2024,41
"102",ROTI LA-TANSA KEJU,5,2024,111
"102",ROTI LA-TANSA KEJU,6,2024,38
"10203",KAOS JERSEY PSG HOME,5,2024,1
"10224",KTR KOIN BALADO BALL,2,2024,2
"10224",KTR KOIN BALADO BALL,4,2024,2
"10224",KTR KOIN BALADO BALL,5,2024,8
"10224",KTR KOIN BALADO BALL,6,2024,1
"10234",KAOS JERSEY LIVERPOOL HOME,6,2024,1
"103",ROTI LA-TANSA PIZZA,12,2023,219
"103",ROTI LA-TANSA PIZZA,1,2024,19
"103",ROTI LA-TANSA PIZZA,2,2024,108
"103",ROTI LA-TANSA PIZZA,4,2024,315
"103",ROTI LA-TANSA PIZZA,5,2024,620
"103",ROTI LA-TANSA PIZZA,6,2024,98
"104",ROTI LA-TANSA BURGER,12,2023,343
"104",ROTI LA-TANSA BURGER,1,2024,132
"104",ROTI LA-TANSA BURGER,2,2024,1
"104",ROTI LA-TANSA BURGER,5,2024,30
"104",ROTI LA-TANSA BURGER,6,2024,2
"105",ROTI LA-TANSA PANDAN,2,2024,1
"105",ROTI LA-TANSA PANDAN,4,2024,1
"105",ROTI LA-TANSA PANDAN,5,2024,135
"105",ROTI LA-TANSA PANDAN,6,2024,72
"106",CELANA DALAM AR GUN HIJAU,12,2023,3
"106",CELANA DALAM AR GUN HIJAU,1,2024,21
"106",CELANA DALAM AR GUN HIJAU,2,2024,1
"106",ROTI LA-TANSA COKLAT,2,2024,26
"106",ROTI LA-TANSA COKLAT,3,2024,66
"106",ROTI LA-TANSA COKLAT,4,2024,209
"106",ROTI LA-TANSA COKLAT,5,2024,518
"106",ROTI LA-TANSA COKLAT,6,2024,202
"10610",KHIZANAH GONTOR ROTI GO LA-TANSA,5,2024,52
"10610",KHIZANAH GONTOR ROTI GO LA-TANSA,6,2024,125
"107",ROTI LA-TANSA TOPING VANILA,12,2023,123
"107",ROTI LA-TANSA TOPING VANILA,1,2024,119
"107",ROTI LA-TANSA TOPING VANILA,2,2024,241
"107",ROTI LA-TANSA TOPING VANILA,3,2024,2
"107",ROTI LA-TANSA TOPING VANILA,5,2024,13
"107",ROTI LA-TANSA TOPING VANILA,6,2024,1
"108",ROTI LA-TANSA TOPING PANDAN,12,2023,175
"108",ROTI LA-TANSA TOPING PANDAN,1,2024,2
"108",ROTI LA-TANSA TOPING PANDAN,2,2024,30
"108",ROTI LA-TANSA TOPING PANDAN,5,2024,27
"108",ROTI LA-TANSA TOPING PANDAN,6,2024,2
"10828",BROWNIES POTONG SEGITIGA,5,2024,2
"109",ROTI LA-TANSA GORENG,2,2024,52
"109",ROTI LA-TANSA GORENG,5,2024,175
"109",ROTI LA-TANSA GORENG,6,2024,66
"10902710248",KASA MEDIRAYA HD,12,2023,1
"10902710248",KASA MEDIRAYA HD,6,2024,1
"10912",KAOS JERSEY MANCHESTER CITY 3RD,5,2024,1
"10932",KAOS JERSEY BARCA HOME,5,2024,1
"10992",KAOS JERSEY ARSENAL HOME,5,2024,1
"110",ROTI LA - TANSA DAGING,5,2024,1
"1100023401",NEXTAR COKLAT ECER,6,2024,1
"1102024066",LEMON TEA,6,2024,62
"11043",HOODIE ZIPPER IMPORT,5,2024,1
"11092",PISAU DAPUR,12,2023,14
"11092",PISAU DAPUR,1,2024,6
"11092",PISAU DAPUR,2,2024,6
"11092",PISAU DAPUR,3,2024,1
"11092",PISAU DAPUR,4,2024,9
"11092",PISAU DAPUR,5,2024,3
"11092",PISAU DAPUR,6,2024,5
"111",ROTI LA-TANSA PISANG COKLAT,12,2023,149
"111",ROTI LA-TANSA PISANG COKLAT,1,2024,144
"111",ROTI LA-TANSA PISANG COKLAT,2,2024,54
"111",ROTI LA-TANSA PISANG COKLAT,4,2024,3
"111",ROTI LA-TANSA PISANG COKLAT,5,2024,9
"111",ROTI LA-TANSA PISANG COKLAT,6,2024,54
"1111",SANDAL SWALLOW,12,2023,16
"1111",SANDAL SWALLOW,1,2024,27
"1111",SANDAL SWALLOW,2,2024,6
"1111",SANDAL SWALLOW,3,2024,1
"1111",SANDAL SWALLOW,4,2024,41
"1111",SANDAL SWALLOW,5,2024,4
"1111",SANDAL SWALLOW,6,2024,23
"111111",KTR SINGKONG RUJAK BALL,12,2023,1
"111111",KTR SINGKONG RUJAK BALL,1,2024,2
"111111",KTR SINGKONG RUJAK BALL,2,2024,2
"112",ROTI LA-TANSA CINAMON ROLL,12,2023,91
